Unnamed: 0,weather_condition,lighting_condition,trafficway_type,roadway_surface_cond,road_defect,crash_hour,crash_day_of_week,crash_month,crash_hour_sin,crash_hour_cos,crash_day_sin,crash_day_cos,crash_month_sin,crash_month_cos,crash_type,intersection_related_i
103339,1.0,1.0,1.0,1.0,1.0,17,5,4,0.03407417371093169,0.7411809548974794,0.02507208781817638,0.7774790660436854,1.8660254037844388,0.5000000000000002,1,1
181247,2.0,4.0,2.0,2.0,1.0,17,7,12,0.03407417371093169,0.7411809548974794,0.9999999999999998,2.0,0.9999999999999998,2.0,2,1
30870,1.0,1.0,2.0,1.0,1.0,13,5,7,0.7411809548974793,0.03407417371093169,0.02507208781817638,0.7774790660436854,0.5000000000000002,0.13397459621556118,1,1
20106,2.0,3.0,2.0,2.0,1.0,21,7,10,0.2928932188134523,1.7071067811865475,0.9999999999999998,2.0,0.1339745962155614,1.5,1,1
203910,1.0,1.0,1.8332037225905151,1.0,1.0,12,6,11,1.0000000000000002,0.0,0.21816851753197009,1.6234898018587334,0.49999999999999956,1.8660254037844384,1,1
30774,1.0,1.0,1.0,1.0,1.0,13,1,5,0.7411809548974793,0.03407417371093169,1.78183148246803,1.6234898018587336,1.5,0.1339745962155613,1,1
143852,1.0,1.0,2.0,1.0,1.0,10,3,9,1.5,0.1339745962155613,1.4338837391175583,0.09903113209758097,0.0,0.9999999999999998,1,1
17751,1.0,1.0,2.0,3.0,1.0,15,5,1,0.29289321881345287,0.2928932188134521,0.02507208781817638,0.7774790660436854,1.5,1.8660254037844388,1,1
180934,1.0,2.0,1.0,2.0,1.0,15,1,12,0.29289321881345287,0.2928932188134521,1.78183148246803,1.6234898018587336,0.9999999999999998,2.0,2,1
192451,1.0,4.0,3.0,1.0,1.0,21,3,7,0.2928932188134523,1.7071067811865475,1.4338837391175583,0.09903113209758097,0.5000000000000002,0.13397459621556118,2,1
59300,1.0,1.0,1.0,1.0,1.0,6,1,12,2.0,1.0,1.78183148246803,1.6234898018587336,0.9999999999999998,2.0,2,1
158488,1.0,4.0,1.0,1.0,1.0,19,6,2,0.03407417371093158,1.2588190451025203,0.21816851753197009,1.6234898018587334,1.8660254037844386,1.5,1,1
28773,1.0,3.0,1.0,1.0,1.0,23,5,6,0.7411809548974784,1.9659258262890682,0.02507208781817638,0.7774790660436854,1.0000000000000002,0.0,2,0
32575,1.0,3.0,2.0,2.0,1.0,19,3,2,0.03407417371093158,1.2588190451025203,1.4338837391175583,0.09903113209758097,1.8660254037844386,1.5,1,1
74954,1.0,1.0,3.0,1.0,1.0,14,3,8,0.5000000000000002,0.13397459621556118,1.4338837391175583,0.09903113209758097,0.13397459621556151,0.49999999999999956,2,1
147522,1.0,1.0,3.0,1.0,1.0,9,3,6,1.7071067811865475,0.29289321881345254,1.4338837391175583,0.09903113209758097,1.0000000000000002,0.0,1,1
45690,1.0,3.0,1.0,1.0,1.0,18,4,2,0.0,0.9999999999999998,0.5661162608824419,0.09903113209758085,1.8660254037844386,1.5,1,1
98840,1.0,2.0,3.0,1.0,3.0,7,3,8,1.9659258262890682,0.7411809548974794,1.4338837391175583,0.09903113209758097,0.13397459621556151,0.49999999999999956,2,1
187414,2.0,3.0,2.0,2.0,1.0,21,2,12,0.2928932188134523,1.7071067811865475,1.9749279121818235,0.7774790660436857,0.9999999999999998,2.0,2,1
22504,1.0,1.0,3.0,2.0,1.0,14,2,9,0.5000000000000002,0.13397459621556118,1.9749279121818235,0.7774790660436857,0.0,0.9999999999999998,1,1
164933,1.0,2.0,4.0,1.0,1.0,20,5,8,0.1339745962155614,1.5,0.02507208781817638,0.7774790660436854,0.13397459621556151,0.49999999999999956,2,1
31876,1.0,1.0,1.0,1.0,1.0,14,6,6,0.5000000000000002,0.13397459621556118,0.21816851753197009,1.6234898018587334,1.0000000000000002,0.0,1,1
146345,1.0,3.0,3.0,1.0,1.0,6,6,1,2.0,1.0,0.21816851753197009,1.6234898018587334,1.5,1.8660254037844388,2,1
49048,1.0,3.0,3.0,1.0,1.0,22,5,12,0.49999999999999956,1.8660254037844384,0.02507208781817638,0.7774790660436854,0.9999999999999998,2.0,1,1
106666,2.0,1.0,1.0,2.0,1.0,12,6,6,1.0000000000000002,0.0,0.21816851753197009,1.6234898018587334,1.0000000000000002,0.0,1,1
194891,1.0,1.0,1.0,1.0,1.0,14,6,11,0.5000000000000002,0.13397459621556118,0.21816851753197009,1.6234898018587334,0.49999999999999956,1.8660254037844384,2,1
87785,1.0,1.0,2.0,1.0,1.0,18,4,8,0.0,0.9999999999999998,0.5661162608824419,0.09903113209758085,0.13397459621556151,0.49999999999999956,1,1
144836,1.0,1.0,3.0,1.0,1.0,15,6,6,0.29289321881345287,0.2928932188134521,0.21816851753197009,1.6234898018587334,1.0000000000000002,0.0,1,1
51014,1.0,1.0,2.0,1.0,1.0,18,3,4,0.0,0.9999999999999998,1.4338837391175583,0.09903113209758097,1.8660254037844388,0.5000000000000002,1,1
45508,1.0,1.0,1.0,1.0,1.0,12,7,8,1.0000000000000002,0.0,0.9999999999999998,2.0,0.13397459621556151,0.49999999999999956,1,1
165292,1.0,1.0,1.0,1.0,1.0,15,4,9,0.29289321881345287,0.2928932188134521,0.5661162608824419,0.09903113209758085,0.0,0.9999999999999998,1,1
65602,2.0,4.0,1.0,2.0,1.0,21,7,9,0.2928932188134523,1.7071067811865475,0.9999999999999998,2.0,0.0,0.9999999999999998,1,1
2196,1.0,1.0,2.0,1.0,1.0,10,3,11,1.5,0.1339745962155613,1.4338837391175583,0.09903113209758097,0.49999999999999956,1.8660254037844384,2,1
