Airline,Cancelled,CRSDepTime,CRSElapsedTime,Distance,Quarter,Month,DayofMonth,DayOfWeek,OriginAirportID,OriginStateName,OriginWac,DestAirportID,DestStateName,DestWac,CRSArrTime,DistanceGroup
3,False,2000,142.0,675.0,1,3,12,6,14100,36,23,10693,41,54,2122,3
7,False,1521,88.0,432.0,3,7,13,3,10397,8,34,12339,12,42,1649,2
3,False,1256,103.0,583.0,3,7,9,6,11298,42,74,13871,25,65,1439,3
14,False,1559,362.0,2429.0,3,7,4,1,12478,30,22,13891,4,91,1901,10
5,False,959,112.0,370.0,1,1,24,1,11267,33,44,11057,31,36,1151,2
18,False,1340,175.0,1129.0,2,5,29,7,14683,42,74,14679,4,91,1435,5
16,False,700,75.0,185.0,1,3,12,6,12323,31,36,11057,31,36,815,1
7,False,800,79.0,223.0,1,2,15,2,15249,7,33,10397,8,34,919,1
3,False,2015,72.0,304.0,2,5,4,3,14107,2,81,14679,4,91,2127,2
16,False,2017,111.0,607.0,2,4,7,4,13930,11,41,15096,30,22,2308,3
18,False,1040,250.0,1838.0,2,4,19,2,14831,4,91,13232,11,41,1650,8
8,False,1627,85.0,258.0,1,3,23,3,12953,30,22,10785,46,16,1752,2
7,False,845,207.0,1416.0,1,2,5,6,12266,42,74,12953,30,22,1312,6
5,False,1327,92.0,313.0,2,4,22,5,10529,6,11,11278,47,38,1459,2
18,False,2245,215.0,1390.0,2,5,23,1,12191,42,74,12892,4,91,20,6
10,False,1536,191.0,1144.0,1,1,9,7,10792,30,22,14635,7,33,1847,5
3,False,800,79.0,237.0,2,6,10,5,15370,34,73,11298,42,74,919,1
18,False,1935,195.0,1491.0,1,3,1,2,11292,5,82,10821,18,35,50,6
9,False,1955,174.0,1162.0,1,3,4,5,10423,42,74,14492,31,36,2349,5
16,False,1705,120.0,534.0,1,1,2,7,12264,47,38,10397,8,34,1905,3
18,False,1150,120.0,755.0,3,7,20,3,11259,42,74,12339,12,42,1450,4
7,False,722,99.0,501.0,2,6,4,6,11433,20,43,14492,31,36,901,3
17,False,1338,141.0,770.0,2,6,18,6,15016,23,64,11292,5,82,1459,4
16,False,1820,90.0,296.0,1,2,25,5,12945,15,52,11433,20,43,1950,2
