crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month
182430,4,2,3,10,10,3,0,1,0,0,2,36,3,1,4.0,0.0,1.0,3.0,0.0,1.0,11,4,12
9125,4,2,3,0,8,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,5,1
141815,16,2,1,17,6,3,0,1,0,1,2,18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,19,3,10
186843,16,2,0,15,6,3,0,1,1,0,2,23,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,3,12
23093,17,11,2,10,8,3,6,5,1,1,1,21,2,2,0.0,0.0,0.0,0.0,0.0,2.0,6,1,2
143934,16,2,3,8,6,3,0,1,0,1,1,18,2,3,1.0,0.0,0.0,1.0,0.0,2.0,15,6,10
965,16,2,1,3,8,3,0,1,0,1,2,24,2,3,2.0,0.0,0.0,1.0,1.0,0.0,22,5,1
160384,16,10,0,9,2,3,5,1,1,1,0,9,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,6,11
102060,16,2,1,8,8,3,0,1,0,1,0,36,2,3,1.0,0.0,0.0,1.0,0.0,1.0,0,3,7
92683,16,7,3,0,8,3,6,1,0,1,2,6,3,2,0.0,0.0,0.0,0.0,0.0,9.0,15,7,7
100007,16,2,1,17,10,3,0,1,0,1,2,24,2,2,0.0,0.0,0.0,0.0,0.0,2.0,20,7,7
124736,4,2,3,9,2,3,0,1,0,1,0,18,2,3,1.0,0.0,0.0,1.0,0.0,1.0,15,5,9
113461,15,2,1,17,8,3,0,1,0,1,2,5,2,3,1.0,0.0,0.0,1.0,0.0,1.0,23,6,8
156141,16,2,3,15,8,3,0,1,1,1,2,36,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,4,11
181620,4,2,3,17,8,3,0,1,0,0,2,18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,6,12
